Sample_ID,Label,Value_R,Value_C,Magnitude_0,Magnitude_1,Magnitude_2,Magnitude_3,Magnitude_4,Magnitude_5,Magnitude_6,Magnitude_7,Magnitude_8,Magnitude_9,Magnitude_10,Magnitude_11,Magnitude_12,Magnitude_13,Magnitude_14,Phase_0,Phase_1,Phase_2,Phase_3,Phase_4,Phase_5,Phase_6,Phase_7,Phase_8,Phase_9,Phase_10,Phase_11,Phase_12,Phase_13,Phase_14
29,nothing,0.0,0.0,190538.203,194542.328,520287.375,481591.406,445447.906,3319562.0,986328.125,919155.437,695521.562,636374.187,631701.625,1012340.62,457056.468,1136288.0,395526.406,-52.726,-44.838,28.329,-5.604,42.751,-10.493,128.99,77.3,69.66,57.62,73.968,43.365,35.391,6.454,60.827
30,nothing,0.0,0.0,125311.132,117291.898,204351.593,254106.562,229827.187,200288.218,214135.64,203165.625,229274.812,251741.687,196382.109,209127.265,179388.468,187845.593,218046.609,-158.707,151.332,-169.681,-151.761,-179.395,-179.295,-168.257,-171.503,-170.79,-176.291,-167.7,178.93,-170.894,-179.207,-177.193
31,nothing,0.0,0.0,404365.62,177110.843,770416.375,337724.937,667695.437,745183.62,824088.437,1122007.125,503566.93,1140958.75,717907.875,896612.25,406341.468,584716.125,675203.875,66.996,29.179,32.422,-79.672,-42.991,-89.978,140.24,85.629,55.226,51.523,80.974,25.317,30.16,-25.489,4.101
32,nothing,0.0,0.0,154777.203,206298.484,129483.304,173932.406,167744.593,190361.546,167087.437,168660.796,180786.39,246302.515,211693.531,174855.515,224607.296,162669.875,265670.343,-175.292,-105.218,174.879,-151.795,168.907,-170.868,178.607,-175.763,-175.32,-169.811,177.49,-174.668,-176.484,-178.913,-168.47
33,nothing,0.0,0.0,267189.562,184580.875,410610.781,292375.0,402370.406,832793.875,487349.156,774829.812,1544569.625,729994.125,680976.25,345348.406,456642.812,358828.93,411035.781,11.135,91.863,-91.96,-90.994,4.293,-79.507,-101.91,-79.769,-32.468,-66.601,-92.141,-61.296,-38.844,-58.75,-78.479
34,nothing,0.0,0.0,143300.281,92659.992,244772.187,176012.14,134834.25,173057.203,127265.703,146909.765,145071.796,158594.281,135393.234,127646.171,102492.687,103790.695,109268.734,-146.872,-153.2,-170.987,172.956,-140.947,-153.146,-149.431,-147.35,-135.516,-124.425,-137.193,-124.767,-129.16,-123.188,-108.165
35,nothing,0.0,0.0,177886.562,209598.515,542872.5,395244.968,1590164.0,1229492.5,1236037.25,1118014.375,606420.562,982620.62,809692.812,923030.25,720569.687,681101.25,647595.937,-36.191,169.806,92.361,-93.439,148.907,26.817,-14.429,71.995,64.888,59.82,122.211,71.532,4.249,37.195,25.8
36,nothing,0.0,0.0,154611.296,158429.937,1071955.125,362254.125,576181.312,982330.375,1131932.75,1917658.5,797711.62,1705642.125,1717406.5,693968.937,631959.437,1116985.375,608261.75,-7.93,45.927,-178.205,-165.702,-47.764,-12.314,146.378,22.305,33.918,25.75,-96.823,-48.178,-21.517,6.899,30.397
37,nothing,0.0,0.0,109344.46,121693.554,143694.562,215409.687,310773.843,194811.656,156503.984,183190.312,177790.578,250615.734,182002.62,166767.953,219358.203,150672.828,200456.484,-168.621,-135.174,178.864,142.165,-173.258,179.339,175.839,172.444,160.89,168.941,169.494,169.9,159.671,164.98,154.943
38,nothing,0.0,0.0,156659.515,193881.14,881063.125,319355.0,664819.0,964800.312,1434382.0,1127791.625,721679.62,759544.875,968618.125,945066.125,788002.687,472414.312,472076.437,-46.516,154.92,56.782,-108.97,73.201,17.172,-154.333,60.315,64.185,32.989,70.762,2.972,-7.218,21.221,6.45
