Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
10,3069.14,0.331,3062.337,0.242,Resistor,3000.0,0.0
11,3073.751,0.445,3071.385,0.126,Resistor,3000.0,0.0
12,3070.417,0.369,3061.802,0.39,Resistor,3000.0,0.0
13,3072.976,0.826,3088.646,0.89,Resistor,3000.0,0.0
14,3061.301,0.674,3052.639,0.108,Resistor,3000.0,0.0
0,3009.278,0.187,3066.559,0.148,Resistor,3000.0,0.0
1,3059.919,0.451,3056.37,0.613,Resistor,3000.0,0.0
2,3031.274,0.509,3067.381,0.211,Resistor,3000.0,0.0
3,3038.869,0.144,3078.14,0.273,Resistor,3000.0,0.0
4,3026.374,0.203,3074.5,0.15,Resistor,3000.0,0.0
5,3022.562,0.281,3072.824,0.86,Resistor,3000.0,0.0
6,3019.23,0.229,3085.155,0.6,Resistor,3000.0,0.0
7,3016.117,0.31,3072.43,0.49,Resistor,3000.0,0.0
8,3023.44,0.128,3073.438,0.69,Resistor,3000.0,0.0
9,3038.952,0.11,3055.738,0.196,Resistor,3000.0,0.0
10,3019.868,0.153,3062.294,0.242,Resistor,3000.0,0.0
11,3010.897,0.309,3071.324,0.126,Resistor,3000.0,0.0
12,3013.137,0.159,3061.753,0.39,Resistor,3000.0,0.0
13,3003.556,0.381,3088.561,0.88,Resistor,3000.0,0.0
14,3028.194,0.557,3052.614,0.109,Resistor,3000.0,0.0
0,3085.392,0.902,3066.578,0.147,Resistor,3000.0,0.0
1,3092.448,0.28,3056.73,0.612,Resistor,3000.0,0.0
2,3058.689,1.789,3067.373,0.213,Resistor,3000.0,0.0
3,2971.891,2.131,3078.34,0.275,Resistor,3000.0,0.0
4,3039.38,2.425,3073.97,0.147,Resistor,3000.0,0.0
5,3064.618,0.785,3072.816,0.87,Resistor,3000.0,0.0
6,3092.771,0.989,3085.163,0.59,Resistor,3000.0,0.0
7,2933.45,0.787,3071.904,0.48,Resistor,3000.0,0.0
8,3180.786,3.64,3073.545,0.73,Resistor,3000.0,0.0
9,3073.378,4.13,3055.756,0.191,Resistor,3000.0,0.0
10,2953.874,2.406,3062.186,0.239,Resistor,3000.0,0.0
11,3176.91,2.754,3071.429,0.123,Resistor,3000.0,0.0
12,2999.966,3.122,3061.691,0.36,Resistor,3000.0,0.0
13,3138.444,3.963,3088.611,0.92,Resistor,3000.0,0.0
14,2959.959,4.935,3052.522,0.103,Resistor,3000.0,0.0
0,2991.797,0.443,3066.503,0.147,Resistor,3000.0,0.0
1,3054.828,0.59,3056.72,0.612,Resistor,3000.0,0.0
2,3034.207,0.487,3067.339,0.212,Resistor,3000.0,0.0
3,3053.641,0.129,3078.1,0.275,Resistor,3000.0,0.0
4,3026.95,0.18,3073.923,0.147,Resistor,3000.0,0.0
5,3022.724,0.193,3072.766,0.86,Resistor,3000.0,0.0
6,3023.117,0.17,3085.101,0.59,Resistor,3000.0,0.0
7,3025.301,0.125,3071.857,0.48,Resistor,3000.0,0.0
8,3027.414,0.159,3073.499,0.73,Resistor,3000.0,0.0
9,3033.14,0.224,3055.733,0.191,Resistor,3000.0,0.0
10,3026.603,0.9,3062.15,0.239,Resistor,3000.0,0.0
11,3017.575,0.87,3071.375,0.123,Resistor,3000.0,0.0
12,3017.429,0.121,3061.647,0.36,Resistor,3000.0,0.0
13,3008.382,0.407,3088.531,0.92,Resistor,3000.0,0.0
14,3037.214,0.24,3052.506,0.104,Resistor,3000.0,0.0
0,3067.572,0.141,3066.504,0.146,Resistor,3000.0,0.0
